Category,Datasource,Frequency,WA,ID,Description
PerformanceCollection,'\\Microsoft FTP Service(_Total)\\Bytes Total/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.FTPServer.FTPServiceBytesTotalSec.Collection,FTP Service\Bytes Total/sec Performance Rule
PerformanceCollection,'\\Microsoft FTP Service(_Total)\\Current Connections',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.FTPServer.FTPServiceCurrentConnections.Collection,FTP Service\Current Connections Performance Rule
PerformanceCollection,'\\SMTP Server(_Total)\\Bytes Received/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPServer.SMTPServerBytesReceivedSec.Collection,SMTP Server\Bytes Received/sec Performance Rule
PerformanceCollection,'\\SMTP Server(_Total)\\Bytes Sent/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPServer.SMTPServerBytesSentSec.Collection,SMTP Server\Bytes Sent/sec Performance Rule
PerformanceCollection,'\\SMTP Server(_Total)\\Bytes Total/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPServer.SMTPServerBytesTotalSec.Collection,SMTP Server\Bytes Total/sec Performance Rule
PerformanceCollection,'\\SMTP Server(_Total)\\Inbound Connections Current',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPServer.SMTPServerInboundConnectionsCurrent.Collection,SMTP Server\Inbound Connections Current Performance Rule
PerformanceCollection,'\\SMTP Server(_Total)\\Message Bytes Received/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPServer.SMTPServerMessageBytesReceivedSec.Collection,SMTP Server\Message Bytes Received/Sec Performance Rule
PerformanceCollection,'\\SMTP Server(_Total)\\Message Bytes Sent/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPServer.SMTPServerMessageBytesSentSec.Collection,SMTP Server\Message Bytes Sent/Sec Performance Rule
PerformanceCollection,'\\SMTP Server(_Total)\\Messages Delivered/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPServer.SMTPServerMessagesDeliveredSec.Collection,SMTP Server\Messages Delivered/Sec Performance Rule
PerformanceCollection,'\\SMTP Server(_Total)\\Messages Received/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPServer.SMTPServerMessagesReceivedSec.Collection,SMTP Server\Messages Received/Sec Performance Rule
