Category,LogName,Expression,ExpressionXML,WA,Priority,Severity,ID,Description
Alert,Application,PublisherNameEqualMicrosoft-Windows-IIS-W3SVC-WPEventDisplayNumberEqual2203,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-IIS-W3SVC-WP</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>2203</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.HTTP.Server.could.not.initialize.the.socket.library,HTTP Server could not initialize the socket library
Alert,Application,PublisherNameEqualMicrosoft-Windows-IIS-W3SVC-WPEventDisplayNumberEqual2204,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-IIS-W3SVC-WP</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>2204</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.HTTP.Server.was.unable.to.initialize.due.to.a.shortage.of.available.memory,HTTP Server was unable to initialize due to a shortage of available memory
Alert,Application,PublisherNameEqualMicrosoft-Windows-IIS-W3SVC-WPEventDisplayNumberMatchesRegularExpression^(2274|2268|2220|2219|2214)$,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-IIS-W3SVC-WP</Value></ValueExpression></SimpleExpression></Expression><Expression><RegExExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>MatchesRegularExpression</Operator><Pattern>^(2274|2268|2220|2219|2214)$</Pattern></RegExExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.ISAPI.application.error.detected,ISAPI application error detected
Alert,System,EventDisplayNumberMatchesRegularExpression^(5088|5061|5060)$PublisherNameEqualMicrosoft-Windows-WAS,<And><Expression><RegExExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>MatchesRegularExpression</Operator><Pattern>^(5088|5061|5060)$</Pattern></RegExExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-WAS</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.Job.object.associated.with.the.application.pool.encountered.an.error,Job object associated with the application pool encountered an error
Alert,Application,PublisherNameEqualMicrosoft-Windows-IIS-W3SVC-WPEventDisplayNumberEqual2296,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-IIS-W3SVC-WP</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>2296</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.Module.has.an.invalid.precondition,Module has an invalid precondition
Alert,Application,PublisherNameEqualMicrosoft-Windows-IIS-W3SVC-WPEventDisplayNumberEqual2295,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-IIS-W3SVC-WP</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>2295</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.Module.registration.error.detected.failed.to.find.RegisterModule.entrypoint,Module registration error detected (failed to find RegisterModule entrypoint)
Alert,Application,PublisherNameEqualMicrosoft-Windows-IIS-W3SVC-WPEventDisplayNumberEqual2293,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-IIS-W3SVC-WP</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>2293</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.Module.registration.error.detected.module.returned.an.error.during.registration,Module registration error detected (module returned an error during registration)
Alert,System,PublisherNameEqualMicrosoft-Windows-IIS-W3SVCEventDisplayNumberEqual1133,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-IIS-W3SVC</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>1133</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.Only.one.type.of.logging.can.be.enabled.at.a.time,Only one type of logging can be enabled at a time
Alert,Application,PublisherNameEqualMicrosoft-Windows-IIS-W3SVC-WPEventDisplayNumberEqual2261,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-IIS-W3SVC-WP</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>2261</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.SFNOTIFYREADRAWDATA.filter.notification.is.not.supported.in.IIS.8,
Alert,System,PublisherNameEqualMicrosoft-Windows-WASEventDisplayNumberEqual5036,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-WAS</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>5036</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,2,Microsoft.Windows.InternetInformationServices.6.2.The.configuration.manager.for.WAS.did.not.initialize,The configuration manager for WAS did not initialize
Alert,Application,PublisherNameEqualMicrosoft-Windows-IIS-W3SVC-WPEventDisplayNumberEqual2264,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-IIS-W3SVC-WP</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>2264</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.The.directory.specified.for.caching.compressed.content.is.invalid,The directory specified for caching compressed content is invalid
