Category,LogName,Expression,ExpressionXML,WA,Priority,Severity,ID,Description
Alert,System,EventDisplayNumberEqual5058PublisherNameEqualMicrosoft-Windows-WAS,<And><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>5058</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-WAS</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.WAS.encountered.a.failure.while.setting.the.affinity.mask.of.an.application.pool,WAS encountered a failure while setting the affinity mask of an application pool
Alert,System,PublisherNameEqualMicrosoft-Windows-WASEventDisplayNumberEqual5066,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-WAS</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>5066</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,2,Microsoft.Windows.InternetInformationServices.6.2.WAS.encountered.an.error.attempting.to.configure.centralized.logging,WAS encountered an error attempting to configure centralized logging
Alert,System,PublisherNameEqualMicrosoft-Windows-WASEventDisplayNumberEqual5153,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-WAS</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>5153</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.WAS.encountered.an.error.attempting.to.look.up.the.built.in.IIS_IUSRS.group,WAS encountered an error attempting to look up the built in IIS_IUSRS group
Alert,System,PublisherNameEqualMicrosoft-Windows-WASEventDisplayNumberMatchesRegularExpression^(5172|5173)$,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-WAS</Value></ValueExpression></SimpleExpression></Expression><Expression><RegExExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>MatchesRegularExpression</Operator><Pattern>^(5172|5173)$</Pattern></RegExExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.WAS.encountered.an.error.trying.to.read.configuration,WAS encountered an error trying to read configuration
Alert,System,EventDisplayNumberEqual5014PublisherNameEqualMicrosoft-Windows-WAS,<And><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>5014</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-WAS</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.WAS.encountered.an.internal.error.in.its.process.management.of.a.worker.process,WAS encountered an internal error in while managing a worker process
Alert,System,EventDisplayNumberEqual5101PublisherNameEqualMicrosoft-Windows-WAS,<And><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>5101</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-WAS</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,2,Microsoft.Windows.InternetInformationServices.6.2.WAS.failed.to.create.application.pool,WAS failed to create application pool
Alert,System,EventDisplayNumberMatchesRegularExpression^(5070|5093)$PublisherNameEqualMicrosoft-Windows-WAS,<And><Expression><RegExExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>MatchesRegularExpression</Operator><Pattern>^(5070|5093)$</Pattern></RegExExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-WAS</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.WAS.failed.to.issue.recycle.request.to.application.pool,WAS failed to issue recycle request to application pool
Alert,System,PublisherNameEqualMicrosoft-Windows-WASEventDisplayNumberEqual5005,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-WAS</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>5005</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,2,Microsoft.Windows.InternetInformationServices.6.2.WAS.is.stopping.because.it.encountered.an.error,WAS is stopping because it encountered an error
Alert,System,PublisherNameEqualMicrosoft-Windows-WASEventDisplayNumberEqual5053,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-WAS</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>5053</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.WAS.received.a.change.notification.but.was.unable.to.process.it.correctly,WAS received a change notification, but was unable to process it correctly
Alert,System,PublisherNameEqualMicrosoft-Windows-WASEventDisplayNumberEqual5030,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-WAS</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>5030</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,2,Microsoft.Windows.InternetInformationServices.6.2.WAS.terminated.unexpectedly.and.the.system.was.not.configured.to.restart.it,
Alert,Application,PublisherNameEqualMicrosoft-Windows-IIS-W3SVC-WPEventDisplayNumberEqual2281,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-IIS-W3SVC-WP</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>2281</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.Worker.process.failed.to.initialize.communication.with.the.W3SVC.and.therefore.could.not.be.started,Worker process failed to initialize communication with the W3SVC service and therefore could not be started
Alert,Application,EventDisplayNumberEqual2297PublisherNameEqualMicrosoft-Windows-IIS-W3SVC-WP,<And><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>2297</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-IIS-W3SVC-WP</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.Worker.process.for.application.pool.encountered.an.error.while.trying.to.read.global.module.configuration,Worker process for application pool encountered an error while trying to read global module configuration
Alert,System,EventDisplayNumberEqual5039PublisherNameEqualMicrosoft-Windows-WAS,<And><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>5039</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-WAS</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.Worker.process.serving.an.application.pool.reported.a.failure,Worker process serving an application pool reported a failure
Alert,System,EventDisplayNumberEqual5015PublisherNameEqualMicrosoft-Windows-WAS,<And><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>5015</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-WAS</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.Worker.process.serving.application.pool.was.orphaned,Worker process serving application pool was orphaned
Alert,System,EventDisplayNumberEqual5127PublisherNameEqualMicrosoft-Windows-WAS,<And><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>5127</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-WAS</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.Worker.process.serving.the.application.pool.is.no.longer.trusted.by.WAS,Worker process serving the application pool is no longer trusted by WAS
Alert,System,PublisherNameEqualMicrosoft-Windows-IIS-W3SVCEventDisplayNumberEqual1173,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-IIS-W3SVC</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>1173</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,2,Microsoft.Windows.InternetInformationServices.6.2.WWW.Service.did.not.initialize.the.HTTP.driver.and.was.unable.start,WWW Service did not initialize the HTTP driver and was unable to start
Alert,System,EventDisplayNumberEqual1026PublisherNameEqualMicrosoft-Windows-IIS-W3SVC,<And><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>1026</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-IIS-W3SVC</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.WWW.service.encountered.an.error.when.it.tried.to.secure.the.handle.of.the.application.pool,WWW service encountered an error when it tried to secure the handle of the application pool
Alert,System,PublisherNameEqualMicrosoft-Windows-IIS-W3SVCEventDisplayNumberMatchesRegularExpression^(1135|1134)$,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-IIS-W3SVC</Value></ValueExpression></SimpleExpression></Expression><Expression><RegExExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>MatchesRegularExpression</Operator><Pattern>^(1135|1134)$</Pattern></RegExExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.WWW.service.failed.to.configure.the.centralized.W3C.logging.properties,WWW service failed to configure the centralized W3C logging properties
Alert,System,PublisherNameEqualMicrosoft-Windows-IIS-W3SVCEventDisplayNumberEqual1020,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-IIS-W3SVC</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>1020</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.WWW.Service.failed.to.configure.the.HTTP.SYS.control.channel.property,WWW Service failed to configure the HTTP.SYS control channel property
Alert,System,PublisherNameEqualMicrosoft-Windows-IIS-W3SVCEventDisplayNumberEqual1062,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-IIS-W3SVC</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>1062</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.WWW.service.failed.to.configure.the.logging.properties.for.the.HTTP.control.channel,WWW service failed to configure the logging properties for the HTTP control channel
Alert,System,PublisherNameEqualMicrosoft-Windows-IIS-W3SVCEventDisplayNumberEqual1126,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-IIS-W3SVC</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>1126</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.WWW.Service.failed.to.copy.a.change.notification.for.processing,WWW Service failed to copy a change notification for processing
Alert,System,PublisherNameEqualMicrosoft-Windows-IIS-W3SVCEventDisplayNumberEqual1175,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-IIS-W3SVC</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>1175</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.WWW.Service.failed.to.enable.end.point.sharing.for.the.HTTP.control.channel,WWW Service failed to enable end point sharing for the HTTP control channel
Alert,System,PublisherNameEqualMicrosoft-Windows-IIS-W3SVCEventDisplayNumberMatchesRegularExpression^(1071|1073)$,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-IIS-W3SVC</Value></ValueExpression></SimpleExpression></Expression><Expression><RegExExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>MatchesRegularExpression</Operator><Pattern>^(1071|1073)$</Pattern></RegExExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.WWW.service.failed.to.enable.global.bandwidth.throttling,WWW service failed to enable global bandwidth throttling
Alert,System,EventDisplayNumberEqual1087PublisherNameEqualMicrosoft-Windows-IIS-W3SVC,<And><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>1087</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-IIS-W3SVC</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.WWW.service.failed.to.properly.configure.the.application.pool.queue.length,WWW service failed to properly configure the application pool queue length
Alert,System,EventDisplayNumberEqual1086PublisherNameEqualMicrosoft-Windows-IIS-W3SVC,<And><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>1086</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-IIS-W3SVC</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.WWW.service.failed.to.properly.configure.the.load.balancer.capabilities.on.application.pool,WWW service failed to properly configure the load balancer capabilities on application pool
Alert,System,PublisherNameEqualMicrosoft-Windows-WASEventDisplayNumberEqual5067,<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">Microsoft-Windows-WAS</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>5067</Value></ValueExpression></SimpleExpression></Expression></And>,WA:This write action handle the alerts generation with description suppression applied in Windows Server 2012  ,1,1,Microsoft.Windows.InternetInformationServices.6.2.WWW.service.property.failed.range.validation,WWW service property failed range validation
