Category,LogName,Expression,ExpressionXML,WA,Priority,Severity,ID,Description
Alert,Operations Manager,EventDisplayNumberEqual4221EventLevelEqual1PublisherNameEqualSQL Server Monitoring MP WindowsParams/Param[1]MatchesRegularExpression^Management Group: "$Target/ManagementGroup/Name$",<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="UnsignedInteger">EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="UnsignedInteger">4221</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery Type="UnsignedInteger">EventLevel</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="UnsignedInteger">1</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">SQL Server Monitoring MP Windows</Value></ValueExpression></SimpleExpression></Expression><Expression><RegExExpression><ValueExpression><XPathQuery>Params/Param[1]</XPathQuery></ValueExpression><Operator>MatchesRegularExpression</Operator><Pattern>^Management Group: "$Target/ManagementGroup/Name$"</Pattern></RegExExpression></Expression></And>,WA:,1,2,Microsoft.SQLServer.Windows.Rule.MonitoringPoolAlertCollection.MonitoringError,The rule traces monitoring workflows errors and generates error alerts.
Alert,Operations Manager,EventDisplayNumberEqual4221EventLevelEqual2PublisherNameEqualSQL Server Monitoring MP WindowsParams/Param[1]MatchesRegularExpression^Management Group: "$Target/ManagementGroup/Name$",<And><Expression><SimpleExpression><ValueExpression><XPathQuery Type="UnsignedInteger">EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="UnsignedInteger">4221</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery Type="UnsignedInteger">EventLevel</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="UnsignedInteger">2</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery Type="String">PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value Type="String">SQL Server Monitoring MP Windows</Value></ValueExpression></SimpleExpression></Expression><Expression><RegExExpression><ValueExpression><XPathQuery>Params/Param[1]</XPathQuery></ValueExpression><Operator>MatchesRegularExpression</Operator><Pattern>^Management Group: "$Target/ManagementGroup/Name$"</Pattern></RegExExpression></Expression></And>,WA:,1,1,Microsoft.SQLServer.Windows.Rule.MonitoringPoolAlertCollection.MonitoringWarning,The rule traces monitoring workflows warnings and generates warning alerts.
