Category,LogName,Expression,ExpressionXML,WA,Priority,Severity,ID,Description
EventCollection,Application,ChannelEqualApplicationEventDisplayNumberEqual317PublisherNameEqual$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$,<And><Expression><SimpleExpression><ValueExpression><XPathQuery>Channel</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>Application</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>317</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$</Value></ValueExpression></SimpleExpression></Expression></And>,WA:,1,1,Microsoft.SQLServer.Windows.CollectionRule.Agent.Alert_engine_stopped_due_to_unrecoverable_local_eventlog_errors_1_5_Rule,SQL Server Agent was unable to open the local event log.
EventCollection,Application,ChannelEqualApplicationEventDisplayNumberEqual212PublisherNameEqual$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$,<And><Expression><SimpleExpression><ValueExpression><XPathQuery>Channel</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>Application</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>212</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$</Value></ValueExpression></SimpleExpression></Expression></And>,WA:,1,1,Microsoft.SQLServer.Windows.CollectionRule.Agent.Job_step_cannot_be_run_because_the_subsystem_failed_to_load_1_5_Rule,A SQL Server job failed to run because the SQL Server Agent subsystem failed to load.
EventCollection,Application,ChannelEqualApplicationEventDisplayNumberEqual103PublisherNameEqual$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$,<And><Expression><SimpleExpression><ValueExpression><XPathQuery>Channel</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>Application</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>103</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$</Value></ValueExpression></SimpleExpression></Expression></And>,WA:,1,1,Microsoft.SQLServer.Windows.CollectionRule.Agent.SQLServerAgent_could_not_be_started_1_5_Rule,A process or a person attempted to start the SQL Server Agent service, but the service did not start.
EventCollection,Application,ChannelEqualApplicationEventDisplayNumberEqual51PublisherNameEqual$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$,<And><Expression><SimpleExpression><ValueExpression><XPathQuery>Channel</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>Application</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>51</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$</Value></ValueExpression></SimpleExpression></Expression></And>,WA:,1,1,Microsoft.SQLServer.Windows.CollectionRule.Agent.SQLServerAgent_initiating_self_termination_1_5_Rule,SQL Server Agent has shut down the SQL Server Agent service.
EventCollection,Application,ChannelEqualApplicationEventDisplayNumberEqual209PublisherNameEqual$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$,<And><Expression><SimpleExpression><ValueExpression><XPathQuery>Channel</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>Application</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>209</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$</Value></ValueExpression></SimpleExpression></Expression></And>,WA:,1,1,Microsoft.SQLServer.Windows.CollectionRule.Agent.Step_of_a_job_caused_an_exception_in_the_subsystem_1_5_Rule,A specific job step caused SQL Server Agent to write an error to the Windows Application log. The log will show the specific job and job step.
EventCollection,Application,ChannelEqualApplicationEventDisplayNumberEqual207PublisherNameEqual$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$,<And><Expression><SimpleExpression><ValueExpression><XPathQuery>Channel</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>Application</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>207</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$</Value></ValueExpression></SimpleExpression></Expression></And>,WA:,1,1,Microsoft.SQLServer.Windows.CollectionRule.Agent.Unable_to_connect_to_SQL_Server_1_5_Rule,The SQL Server Agent Service could not connect to the instance of SQL Server. This error may occur when the SQL Server Agent service account does not have a valid login on SQL Server
EventCollection,Application,ChannelEqualApplicationEventDisplayNumberEqual313PublisherNameEqual$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$,<And><Expression><SimpleExpression><ValueExpression><XPathQuery>Channel</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>Application</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>EventDisplayNumber</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>313</Value></ValueExpression></SimpleExpression></Expression><Expression><SimpleExpression><ValueExpression><XPathQuery>PublisherName</XPathQuery></ValueExpression><Operator>Equal</Operator><ValueExpression><Value>$Target/Property[Type="SqlDiscW!Microsoft.SQLServer.Windows.Agent"]/ServiceName$</Value></ValueExpression></SimpleExpression></Expression></And>,WA:,1,1,Microsoft.SQLServer.Windows.CollectionRule.Agent.Unable_to_re_open_the_local_eventlog_1_5_Rule,SQL Server Agent was unable to open the local event log.
