MachineName,Feature,Type,Parent,MachineManagerFqdn
Srini-IIS-Server,Web-Stat-Compression,Role Service,Web-Performance,172.26.27.202
Srini-IIS-Server,Web-Security,Role Service,Web-WebServer,172.26.27.202
Srini-IIS-Server,Web-Filtering,Role Service,Web-Security,172.26.27.202
Srini-IIS-Server,Web-App-Dev,Role Service,Web-WebServer,172.26.27.202
Srini-IIS-Server,Web-Net-Ext,Role Service,Web-App-Dev,172.26.27.202
Srini-IIS-Server,Web-Net-Ext45,Role Service,Web-App-Dev,172.26.27.202
Srini-IIS-Server,Web-ASP,Role Service,Web-App-Dev,172.26.27.202
Srini-IIS-Server,Web-Asp-Net,Role Service,Web-App-Dev,172.26.27.202
Srini-IIS-Server,Web-Asp-Net45,Role Service,Web-App-Dev,172.26.27.202
Srini-IIS-Server,Web-ISAPI-Ext,Role Service,Web-App-Dev,172.26.27.202
Srini-IIS-Server,Web-ISAPI-Filter,Role Service,Web-App-Dev,172.26.27.202
Srini-IIS-Server,Web-Mgmt-Tools,Role Service,Web-Server,172.26.27.202
Srini-IIS-Server,Web-Mgmt-Console,Role Service,Web-Mgmt-Tools,172.26.27.202
Srini-IIS-Server,NET-Framework-Features,Feature,,172.26.27.202
Srini-IIS-Server,NET-Framework-Core,Feature,NET-Framework-Features,172.26.27.202
Srini-IIS-Server,NET-HTTP-Activation,Feature,NET-Framework-Features,172.26.27.202
Srini-IIS-Server,NET-Non-HTTP-Activ,Feature,NET-Framework-Features,172.26.27.202
Srini-IIS-Server,NET-Framework-45-Features,Feature,,172.26.27.202
Srini-IIS-Server,NET-Framework-45-Core,Feature,NET-Framework-45-Features,172.26.27.202
Srini-IIS-Server,NET-Framework-45-ASPNET,Feature,NET-Framework-45-Features,172.26.27.202
Srini-IIS-Server,NET-WCF-Services45,Feature,NET-Framework-45-Features,172.26.27.202
Srini-IIS-Server,NET-WCF-HTTP-Activation45,Feature,NET-WCF-Services45,172.26.27.202
Srini-IIS-Server,NET-WCF-MSMQ-Activation45,Feature,NET-WCF-Services45,172.26.27.202
Srini-IIS-Server,NET-WCF-Pipe-Activation45,Feature,NET-WCF-Services45,172.26.27.202
Srini-IIS-Server,NET-WCF-TCP-Activation45,Feature,NET-WCF-Services45,172.26.27.202
Srini-IIS-Server,NET-WCF-TCP-PortSharing45,Feature,NET-WCF-Services45,172.26.27.202
Srini-IIS-Server,MSMQ,Feature,,172.26.27.202
Srini-IIS-Server,MSMQ-Services,Feature,MSMQ,172.26.27.202
Srini-IIS-Server,MSMQ-Server,Feature,MSMQ-Services,172.26.27.202
Srini-IIS-Server,System-DataArchiver,Feature,,172.26.27.202
Srini-IIS-Server,Windows-Defender,Feature,,172.26.27.202
Srini-IIS-Server,PowerShellRoot,Feature,,172.26.27.202
Srini-IIS-Server,PowerShell,Feature,PowerShellRoot,172.26.27.202
Srini-IIS-Server,PowerShell-V2,Feature,PowerShellRoot,172.26.27.202
Srini-IIS-Server,PowerShell-ISE,Feature,PowerShellRoot,172.26.27.202
Srini-IIS-Server,WAS,Feature,,172.26.27.202
Srini-IIS-Server,WAS-Process-Model,Feature,WAS,172.26.27.202
Srini-IIS-Server,WAS-NET-Environment,Feature,WAS,172.26.27.202
Srini-IIS-Server,WAS-Config-APIs,Feature,WAS,172.26.27.202
Srini-IIS-Server,WoW64-Support,Feature,,172.26.27.202
Srini-IIS-Server,XPS-Viewer,Feature,,172.26.27.202
ASR,FileAndStorage-Services,Role,,172.26.27.202
ASR,Storage-Services,Role Service,FileAndStorage-Services,172.26.27.202
ASR,NET-Framework-45-Features,Feature,,172.26.27.202
ASR,NET-Framework-45-Core,Feature,NET-Framework-45-Features,172.26.27.202
ASR,NET-WCF-Services45,Feature,NET-Framework-45-Features,172.26.27.202
ASR,NET-WCF-TCP-PortSharing45,Feature,NET-WCF-Services45,172.26.27.202
ASR,System-DataArchiver,Feature,,172.26.27.202
ASR,Windows-Defender,Feature,,172.26.27.202
ASR,PowerShellRoot,Feature,,172.26.27.202
ASR,PowerShell,Feature,PowerShellRoot,172.26.27.202
ASR,PowerShell-ISE,Feature,PowerShellRoot,172.26.27.202
ASR,WoW64-Support,Feature,,172.26.27.202
ASR,XPS-Viewer,Feature,,172.26.27.202
Srini-HyperV-Migration,DHCP,Role,,172.26.27.202
Srini-HyperV-Migration,FileAndStorage-Services,Role,,172.26.27.202
Srini-HyperV-Migration,File-Services,Role Service,FileAndStorage-Services,172.26.27.202
Srini-HyperV-Migration,FS-FileServer,Role Service,File-Services,172.26.27.202
Srini-HyperV-Migration,Storage-Services,Role Service,FileAndStorage-Services,172.26.27.202
Srini-HyperV-Migration,Hyper-V,Role,,172.26.27.202
Srini-HyperV-Migration,NET-Framework-45-Features,Feature,,172.26.27.202
Srini-HyperV-Migration,NET-Framework-45-Core,Feature,NET-Framework-45-Features,172.26.27.202
Srini-HyperV-Migration,NET-WCF-Services45,Feature,NET-Framework-45-Features,172.26.27.202
Srini-HyperV-Migration,NET-WCF-TCP-PortSharing45,Feature,NET-WCF-Services45,172.26.27.202
Srini-HyperV-Migration,RSAT,Feature,,172.26.27.202
Srini-HyperV-Migration,RSAT-Feature-Tools,Feature,RSAT,172.26.27.202
Srini-HyperV-Migration,RSAT-Clustering,Feature,RSAT-Feature-Tools,172.26.27.202
Srini-HyperV-Migration,RSAT-Clustering-Mgmt,Feature,RSAT-Clustering,172.26.27.202
Srini-HyperV-Migration,RSAT-Clustering-PowerShell,Feature,RSAT-Clustering,172.26.27.202
Srini-HyperV-Migration,RSAT-Role-Tools,Feature,RSAT,172.26.27.202
Srini-HyperV-Migration,RSAT-Hyper-V-Tools,Feature,RSAT-Role-Tools,172.26.27.202
Srini-HyperV-Migration,Hyper-V-Tools,Feature,RSAT-Hyper-V-Tools,172.26.27.202
Srini-HyperV-Migration,Hyper-V-PowerShell,Feature,RSAT-Hyper-V-Tools,172.26.27.202
Srini-HyperV-Migration,RSAT-DHCP,Feature,RSAT-Role-Tools,172.26.27.202
Srini-HyperV-Migration,System-DataArchiver,Feature,,172.26.27.202
Srini-HyperV-Migration,Windows-Defender,Feature,,172.26.27.202
Srini-HyperV-Migration,PowerShellRoot,Feature,,172.26.27.202
Srini-HyperV-Migration,PowerShell,Feature,PowerShellRoot,172.26.27.202
Srini-HyperV-Migration,PowerShell-ISE,Feature,PowerShellRoot,172.26.27.202
Srini-HyperV-Migration,WoW64-Support,Feature,,172.26.27.202
Srini-HyperV-Migration,XPS-Viewer,Feature,,172.26.27.202
MicrosoftDRAppliance,FileAndStorage-Services,Role,,172.26.27.202
MicrosoftDRAppliance,Storage-Services,Role Service,FileAndStorage-Services,172.26.27.202
MicrosoftDRAppliance,Web-Server,Role,,172.26.27.202
MicrosoftDRAppliance,Web-WebServer,Role Service,Web-Server,172.26.27.202
MicrosoftDRAppliance,Web-Common-Http,Role Service,Web-WebServer,172.26.27.202
MicrosoftDRAppliance,Web-Default-Doc,Role Service,Web-Common-Http,172.26.27.202
MicrosoftDRAppliance,Web-Dir-Browsing,Role Service,Web-Common-Http,172.26.27.202
MicrosoftDRAppliance,Web-Http-Errors,Role Service,Web-Common-Http,172.26.27.202
MicrosoftDRAppliance,Web-Static-Content,Role Service,Web-Common-Http,172.26.27.202
MicrosoftDRAppliance,Web-Http-Redirect,Role Service,Web-Common-Http,172.26.27.202
MicrosoftDRAppliance,Web-Health,Role Service,Web-WebServer,172.26.27.202
MicrosoftDRAppliance,Web-Http-Logging,Role Service,Web-Health,172.26.27.202
MicrosoftDRAppliance,Web-Log-Libraries,Role Service,Web-Health,172.26.27.202
MicrosoftDRAppliance,Web-Request-Monitor,Role Service,Web-Health,172.26.27.202
MicrosoftDRAppliance,Web-Performance,Role Service,Web-WebServer,172.26.27.202
MicrosoftDRAppliance,Web-Stat-Compression,Role Service,Web-Performance,172.26.27.202
MicrosoftDRAppliance,Web-Security,Role Service,Web-WebServer,172.26.27.202
MicrosoftDRAppliance,Web-Filtering,Role Service,Web-Security,172.26.27.202
MicrosoftDRAppliance,Web-Url-Auth,Role Service,Web-Security,172.26.27.202
MicrosoftDRAppliance,Web-Windows-Auth,Role Service,Web-Security,172.26.27.202
MicrosoftDRAppliance,Web-App-Dev,Role Service,Web-WebServer,172.26.27.202
MicrosoftDRAppliance,Web-Net-Ext45,Role Service,Web-App-Dev,172.26.27.202
MicrosoftDRAppliance,Web-Asp-Net45,Role Service,Web-App-Dev,172.26.27.202
MicrosoftDRAppliance,Web-CGI,Role Service,Web-App-Dev,172.26.27.202
MicrosoftDRAppliance,Web-ISAPI-Ext,Role Service,Web-App-Dev,172.26.27.202
MicrosoftDRAppliance,Web-ISAPI-Filter,Role Service,Web-App-Dev,172.26.27.202
MicrosoftDRAppliance,Web-Mgmt-Tools,Role Service,Web-Server,172.26.27.202
MicrosoftDRAppliance,Web-Mgmt-Console,Role Service,Web-Mgmt-Tools,172.26.27.202
MicrosoftDRAppliance,Web-Scripting-Tools,Role Service,Web-Mgmt-Tools,172.26.27.202
MicrosoftDRAppliance,Web-Mgmt-Service,Role Service,Web-Mgmt-Tools,172.26.27.202
MicrosoftDRAppliance,NET-Framework-45-Features,Feature,,172.26.27.202
MicrosoftDRAppliance,NET-Framework-45-Core,Feature,NET-Framework-45-Features,172.26.27.202
