Category,Datasource,WA,ID,Description
PerformanceCollection,:Security System-Wide Statistics\KDC AS Requests:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.KDCASRequests.Collection,
PerformanceCollection,:Security System-Wide Statistics\KDC TGS Requests:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.KDCTGRequests.Collection,
PerformanceCollection,:Security System-Wide Statistics\Kerberos Authentications:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.KerberosAuth.Collection,
PerformanceCollection,NTDS:DirectoryServices\LDAP Client Sessions:300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.LDAPClientSessions.Collection,
PerformanceCollection,NTDS:DirectoryServices\LDAP Searches/sec:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.LDAPSearches.Collection,
PerformanceCollection,NTDS:DirectoryServices\LDAP UDP operations/sec:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.LDAPUDPOperations.Collection,
PerformanceCollection,NTDS:DirectoryServices\LDAP Writes/sec:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.LDAPWrites.Collection,
PerformanceCollection,LSASS:Process\Handle Count:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.LSASSHandleCount.Collection,
PerformanceCollection,LSASS:Process\Private Bytes:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.LSASSPrivateBytes.Collection,
PerformanceCollection,LSASS:Process\% Processor Time:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.LSASSTotalCPU.Collection,
PerformanceCollection,:Security System-Wide Statistics\NTLM Authentications:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.NTLMAuthentications.Collection,
PerformanceCollection,:Memory\Pages/sec:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.Paging.Collection,
PerformanceCollection,_Total:Processor\% Processor Time:300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.ProcessorTime.Collection,
PerformanceCollection,:Server\Server Sessions:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.ServerSessions.Collection,
PerformanceCollection,:System\System Up Time:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.SystemUpTime.Collection,
PerformanceCollection,:TCPv4\Connections Established:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.TCPv4Connections.Collection,
PerformanceCollection,:TCPv6\Connections Established:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.TCPv6Connections.Collection,
PerformanceCollection,NTDS:DirectoryServices\DRA Inbound Bytes Compressed (Between Sites, Before Compression)/sec:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.DRAInboundBytes.Collection,
PerformanceCollection,NTDS:DirectoryServices\DRA Inbound Bytes Compressed (Between Sites, After Compression)/sec:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.DRAInboundBytesComp.Collection,
PerformanceCollection,NTDS:DirectoryServices\DRA Inbound Bytes Not Compressed (Within Site)/sec:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.DRAInboundBytesNotComp.Collection,
PerformanceCollection,NTDS:DirectoryServices\DRA Inbound Bytes Total/sec:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.DRAInboundBytesTotal.Collection,
PerformanceCollection,NTDS:DirectoryServices\DRA Outbound Bytes Compressed (Between Sites, After Compression)/sec:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.DRAIntersiteOutBytes.Collection,
PerformanceCollection,NTDS:DirectoryServices\DRA Outbound Bytes Compressed (Between Sites, Before Compression)/sec:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.DRAOutboundBytesComp.Collection,
PerformanceCollection,NTDS:DirectoryServices\DRA Outbound Bytes Not Compressed (Within Site)/sec:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.DRAOutboundBytesNotComp.Collection,
PerformanceCollection,NTDS:DirectoryServices\DRA Outbound Bytes Total/sec:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.DRAOutboundBytesTotal.Collection,
PerformanceCollection,dns:Process\% Processor Time:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.DNSTotalCPU.Collection,
PerformanceCollection,:DNS\Total Query Received/sec:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.DNSQueryReceived.Collection,
PerformanceCollection,dns:Process\Private Bytes:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.DNSPrivateBytes.Collection,
PerformanceCollection,NTDS:DirectoryServices\ATQ Outstanding Queued Requests:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.Atq.OutstandingQueuedRequests.Collection,
PerformanceCollection,NTDS:DirectoryServices\ATQ Request Latency:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.Atq.RequestLatency.Collection,
PerformanceCollection,NTDS:DirectoryServices\ATQ Threads Other:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.Atq.ThreadsOther.Collection,
PerformanceCollection,NTDS:DirectoryServices\ATQ Threads LDAP:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.Atq.ThreadsLdap.Collection,
PerformanceCollection,NTDS:DirectoryServices\ATQ Threads Total:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.Atq.ThreadsTotal.Collection,
PerformanceCollection,:\:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.RIDPool.Free.PerformanceCollection,Collection for the AD RID Pool % Free counter.
