Category,Datasource,WA,ID,Description
PerformanceCollection,:\:,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.Performance.FsmoResponse.Ping.PDC.PerformanceCollection,Collection for the PDC ping times.
PerformanceCollection,:\:,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.Performance.FsmoResponse.Ping.Infra.PerformanceCollection,Collection for the Infrastructure Master ping times.
PerformanceCollection,:\:,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.Performance.FsmoResponse.Ping.Domain.PerformanceCollection,Collection for the Domain Naming Master ping times.
PerformanceCollection,:\:,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.Performance.FsmoResponse.Ping.Schema.PerformanceCollection,Collection for the Schema Master ping times.
PerformanceCollection,:\:,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.Performance.FsmoResponse.Ping.RID.PerformanceCollection,Collection for the RID Master ping times.
PerformanceCollection,:\:,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.Performance.FsmoResponse.Bind.PDC.PerformanceCollection,Collection for the PDC LDAP bind times.
PerformanceCollection,:\:,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.Performance.FsmoResponse.Bind.Infra.PerformanceCollection,Collection for the Infrastructure Master LDAP bind times.
PerformanceCollection,:\:,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.Performance.FsmoResponse.Bind.Domain.PerformanceCollection,Collection for the Domain Naming Master LDAP bind times.
PerformanceCollection,:\:,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.Performance.FsmoResponse.Bind.Schema.PerformanceCollection,Collection for the Schema Master LDAP bind times.
PerformanceCollection,:\:,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.Performance.FsmoResponse.Bind.RID.PerformanceCollection,Collection for the RID Master LDAP bind times.
PerformanceCollection,:\:,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.Availability.DiskSpace.Log.PerformanceCollection,Collection for the amount of free disk space on the drive that holds the log file
PerformanceCollection,:\:,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.Availability.DiskSpace.DIT.PerformanceCollection,Collection for the amount of free disk space on the drive that holds the database file
PerformanceCollection,:\:,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.Availability.Size.DIT.PerformanceCollection,Collection for the size of the AD database (DIT) file
PerformanceCollection,:\:,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.Performance.BindTimes.PerformanceCollection,Collection for LDAP Bind Time metrics
PerformanceCollection,:\:,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.Performance.GCResponse.PerformanceCollection,Collection for Global Catalog Search Time
PerformanceCollection,:\:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.Replication.Queue.PerformanceCollection,Collection for the AD Replication Queue size.
PerformanceCollection,:Memory\Available Bytes:300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.AvailableBytes.Collection,
PerformanceCollection,:Memory\Committed Bytes:300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.CommittedBytes.Collection,
PerformanceCollection,NTDS:DirectoryServices\DS Search sub-operations/sec:900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.Server.2016.AD.DomainController.DSSubSearch.Collection,
