"filename", "language", "Markdown", "Bicep", "JSON", "PowerShell", "comment", "blank", "total"
"/home/jofehse/git/AzureMonitorStarterPacks/.github/PULL_REQUEST_TEMPLATE.md", "Markdown", 18, 0, 0, 0, 0, 11, 29
"/home/jofehse/git/AzureMonitorStarterPacks/CODE_OF_CONDUCT.md", "Markdown", 6, 0, 0, 0, 0, 4, 10
"/home/jofehse/git/AzureMonitorStarterPacks/CONTRIBUTING.md", "Markdown", 11, 0, 0, 0, 0, 3, 14
"/home/jofehse/git/AzureMonitorStarterPacks/Docs/authoring.md", "Markdown", 26, 0, 0, 0, 0, 19, 45
"/home/jofehse/git/AzureMonitorStarterPacks/Docs/operation.md", "Markdown", 0, 0, 0, 0, 0, 1, 1
"/home/jofehse/git/AzureMonitorStarterPacks/Docs/packs.md", "Markdown", 12, 0, 0, 0, 0, 8, 20
"/home/jofehse/git/AzureMonitorStarterPacks/Docs/setup-examples.md", "Markdown", 19, 0, 0, 0, 0, 13, 32
"/home/jofehse/git/AzureMonitorStarterPacks/Docs/solution-anatomy.md", "Markdown", 52, 0, 0, 0, 0, 25, 77
"/home/jofehse/git/AzureMonitorStarterPacks/Packs/AllPacks.bicep", "Bicep", 0, 83, 0, 0, 21, 8, 112
"/home/jofehse/git/AzureMonitorStarterPacks/Packs/CustomSetup/setup.json", "JSON", 0, 0, 346, 0, 0, 0, 346
"/home/jofehse/git/AzureMonitorStarterPacks/Packs/IaaS/AllIaaSPacks.bicep", "Bicep", 0, 158, 0, 0, 20, 7, 185
"/home/jofehse/git/AzureMonitorStarterPacks/Packs/IaaS/AllIaaSPacks.json", "JSON", 0, 0, 16661, 0, 0, 0, 16661
"/home/jofehse/git/AzureMonitorStarterPacks/Packs/IaaS/DNS2016/Azure Monitor Starter Pack _ DNS2016.json", "JSON", 0, 0, 1206, 0, 0, 0, 1206
"/home/jofehse/git/AzureMonitorStarterPacks/Packs/IaaS/DNS2016/WinDns2016Alerts.bicep", "Bicep", 0, 614, 0, 0, 1, 5, 620
